Website;Section Name;General Section
CBS News;cbs-this-morning-healthwatch;Health
CBS News;global-innovations-health;Health
CBS News;nan;Misc
CBS News;cbsvillage;Misc
CBS News;help;Misc
CBS News;the-takeout-full-episodes;Misc
CNN;news;General National / International
CNN;asia;General National / International
CNN;world;General National / International
CNN;europe;General National / International
CNN;uk;General National / International
CNN;australia;General National / International
CNN;us;General National / International
CNN;middleeast;General National / International
CNN;india;General National / International
CNN;americas;General National / International
CNN;africa;General National / International
CNN;china;General National / International
CNN;cnn10;General National / International
CNN;app-news-section;General National / International
CNN;app-international-edition;General National / International
CNN;sport;Sports
CNN;golf;Sports
CNN;tennis;Sports
CNN;football;Sports
CNN;politics;Politics
CNN;app-politics-section;Politics
CNN;politics-zone-injection;Politics
CNN;travel-stay;Arts and Entertainment
CNN;entertainment;Arts and Entertainment
CNN;travel;Arts and Entertainment
CNN;foodanddrink;Arts and Entertainment
CNN;arts;Arts and Entertainment
CNN;travel-play;Arts and Entertainment
CNN;media;Arts and Entertainment
CNN;cars;Arts and Entertainment
CNN;shows;Arts and Entertainment
CNN;motorsport;Arts and Entertainment
CNN;movies;Arts and Entertainment
CNN;hotels;Arts and Entertainment
CNN;autos;Arts and Entertainment
CNN;tv-shows;Arts and Entertainment
CNN;vr;Arts and Entertainment
CNN;tech;Science and Technology
CNN;app-tech-section;Science and Technology
CNN;success;Business and Finances
CNN;economy;Business and Finances
CNN;business;Business and Finances
CNN;investing;Business and Finances
CNN;intl_business;Business and Finances
CNN;seo-planning;Business and Finances
CNN;business-india;Business and Finances
CNN;health;Health
CNN;energy;Health
CNN;luxury;Home / House / Family / Religion
CNN;architecture;Home / House / Family / Religion
CNN;design;Home / House / Family / Religion
CNN;fashion;Home / House / Family / Religion
CNN;beauty;Home / House / Family / Religion
CNN;style;Home / House / Family / Religion
CNN;celebrities;Home / House / Family / Religion
CNN;nan;Misc
CNN;perspectives;Misc
CNN;opinions;Misc
CNN;homepage;Misc
CNN;weather;Misc
The GUARDIAN;US news;General National / International
The GUARDIAN;Society;General National / International
The GUARDIAN;News;General National / International
The GUARDIAN;World news;General National / International
The GUARDIAN;Environment;General National / International
The GUARDIAN;Australia news;General National / International
The GUARDIAN;Global development;General National / International
The GUARDIAN;Global;General National / International
The GUARDIAN;UK news;General National / International
The GUARDIAN;Life and style;General National / International
The GUARDIAN;From the Observer;General National / International
The GUARDIAN;NewsWise;General National / International
The GUARDIAN;The Guardian Foundation;General National / International
The GUARDIAN;GNM archive;General National / International
The GUARDIAN;From the Guardian;General National / International
